Name,Grade
Pasham Nithish Reddy,Good
Shivbihari Dave,Exceptional
SUNIL MEENA,Poor
Shubham Chatterjee,Very Good
RAVINA BISHNOI,Poor
Samarjeet Dube,Exceptional
ADITYA KRISHNANAND,Poor
Pooja Mishra,Fair
DIPANKAR CHAUDHARY,Poor
Kamlesh Bhalla,Good
Kamlesh Balakrishnan,Good
Anand Datta,Fair
Mridul Das,Very Good
PRATEEK SACHAN,Fair
PIYUSH SETHIA,Exceptional
RAM RATAN KASWAN,Exceptional
Sanjay Sankaran,Good
KRISHNA BANSAL,Poor
Sunil Shah,Very Good
Aneet Gopal,Good
Aneet Sagar,Good
DIVYANSHU JOSHI,Very Good
Arvind Saxena,Exceptional
Subhasis Dhawan,Poor
RONAK SONI,Poor
AKSHAY Chatterjee,Good
Shubham Chaudhuri,Fair
Vimlesh SINGH MOURYA,Poor
Kamlesh Bhagat,Very Good
ANKIT AHARWAL,Exceptional
MOHIT RUSTAGI,Fair
HIMANSHU,Good
Nilesh Dubey,Good
SAIVIVEK KALIVEMULA,Very Good
Hitesh Upreti,Good
SATBEER,Fair
SAKSHI YADAV,Very Good
NISHITHA T,Poor
RAMAN WALIA,Exceptional
VIJAY KUMAR SHARMA,Very Good
NAMIA ISLAM,Exceptional
ABHIK CHAKRABORTY,Exceptional
KETAN DHANUKA,Poor
MOHIT KUMAR GOYAL,Good
Ankit Chakraborty,Very Good
Nitesh Ramanathan,Very Good
HARSH INDORIA,Poor
Sunil negi,Fair
Suruj Protim Neog,Very Good
Neha Bansal,Poor
SHINDE PRANJAL PANDURANG,Fair
YASH JAIN,Poor
MANSI RAJESH DENGRE,Fair
Sonu Nagar,Poor
Lateef Ahamed Wani,Good
Aneet Grewal,Poor
Shivam Bhagat,Fair
LANKA ADARSH,Poor
AASHISH SAXENA,Very Good
SHIVAM MISHRA,Fair
ADITYA SHARMA,Fair
Sunil Mehra,Good
Preeti Joshi,Fair
Nitesh Grewal,Very Good
Sunil Rattan,Exceptional
Nilesh Handa,Exceptional
PUSHPRAJ PRATAP SINGH,Very Good
ANKIT GODARA,Exceptional
M. SATHYASEELAN,Good
Vinay Sibal,Good
Patel Janakkumar Baldevbhai,Poor
Arvind Mukherjee,Very Good
MANSANCHYA,Exceptional
V.G.Durgarao Rayudu,Very Good
AAZIM BILL SE YASWANT,Very Good
RAHUL ARORA,Very Good
Sudhir Chadha,Exceptional
PARIGYAT GAUTAM,Poor
Subhasis Ahluwalia,Good
SAURABH RAJ,Exceptional
Sudhir Sankaran,Poor
Arvind Badal,Very Good
Mridul Chahal,Poor
AISHWARYA,Fair
Sunil Chaudhary,Very Good
Bhavik Rajnikant Patel,Exceptional
Sonu Mehra,Poor
ARPIT MAHESHWARI,Exceptional
Ziyad Abdul Nabi,Good
Shivbihari Chadha,Very Good
MAHENDRA PAL PARIHAR,Exceptional
VAIBHAV SAINI,Poor
Sanjay Raj,Fair
MOHIT KUMAR GUPTA,Very Good
AMAN GORA,Very Good
ABHASH RANJAN,Exceptional
Shubham Bahri,Very Good
MAYANK PARNAMI,Good
AKASH C BABU,Very Good
Subhasis Sethi,Poor
Vinay Sheth,Very Good
NISHANT MITTAL,Fair
Aneet Shroff,Very Good
PRATYUSH SINGHAL,Very Good
SHUBHAM PIPESH,Fair
Aneet Sen,Fair
KUNAL DALOTRA,Poor
Surinder Pal Kaur,Fair
ASHISH KUMAR,Poor
Rohit Das,Good
Nilesh Ghosh,Good
Vishal Bhargava,Very Good
HEERA LAL YADAV,Poor
Akshay Ku. Yadav,Good
BANNE BHAVITHA,Exceptional
Shivam Datta,Poor
SAURAV JHANWAR,Fair
Subhasis Dalal,Poor
Shivam Goswami,Poor
Shivbihari Saran,Exceptional
MANGI LAL,Poor
Sapna Singh,Exceptional
AVDHESH SHARMA,Good
Ankit Bhalla,Fair
GOGRAJ KHADDA,Poor
Vinay Deshpande,Fair
Mridul Badal,Exceptional
Rajesh Kumar Uppal,Poor
Amit Chaudhary,Exceptional
Shivram Grewal,Very Good
TEJAS GAJANAN PATIL,Poor
Sunil Goda,Exceptional
Vishal Shan,Poor
NITESH KUMAR MAHAWAR,Fair
NAVEEN TIWARI,Exceptional
PRAWAL PRATAP SINGH,Very Good
Vishal Bhattacharyya,Exceptional
MANISHA,Exceptional
Sunil Kumar Rajput,Exceptional
Arjun Kumar,Fair
Rohit Mishra,Poor
Shivbihari Handa,Poor
Deepti,Fair
Deepak Dangwal,Fair
SHAIK SAMEER FARHATH,Very Good
Sonu Sen,Very Good
SHANTI CHANDRA,Exceptional
Venkata Ramana Naik N.,Exceptional
Samarjeet Chandra,Exceptional
Sonu Chahal,Exceptional
Nitesh Ghosh,Good
Naveenkumar C,Exceptional
Manju Bala,Fair
Veena Chaudhary,Fair
PARDEEP KUMAR NEHRA,Fair
OM PRAKASH MAURYA,Good
SHINDE KIRAN BABASAHEB,Exceptional
Kamlesh Bhardwaj,Poor
AAKASH GAUTAM,Exceptional
RONAK,Exceptional
Shivbihari Raman,Exceptional
Vishal Raj,Good
Vishesh Kumar Tanwar,Fair
Amit Dave,Good
Brijesh MOURYA SINGH,Poor
Subhasis Dube,Exceptional
K L RAHUL,Good
Soju Joseph Alexander,Poor
ANURAG JHA,Very Good
Sudhir Sood,Very Good
Shivam Gopal,Poor
Sonu Reddy,Poor
Sudhir Rana,Fair
ANAND KUMAR,Exceptional
Shivam Bakshi,Exceptional
ADITYAVARDHAN ANAND CHANDAK,Good
Sonu Dhillon,Fair
DEEPAK MURUGAN,Poor
Nitesh Sharaf,Good
PRATIK RAVINDRA PATIL,Fair
NITIN SHARMA,Exceptional
Nitesh Dhawan,Good
SUBHO PAUL,Very Good
Shubham Balakrishnan,Good
VIDHI SINGHAL,Very Good
PATEL LAXMANBHAI HARKHABHAI,Fair
MOHIT,Good
Subham,Good
Sonu Bedi,Exceptional
Sonu Agarwal,Fair
Lalit Thakur,Fair
MAYANK SHUKLA,Good
Aneet Brahmbhatt,Very Good
SARJE MAHESH VASANT,Very Good
Samarjeet Chopra,Exceptional
KUSHAGRA DWIVEDI,Fair
THADI NAMRATHA,Exceptional
SACHIN BHARTI,Poor
SHLOK GAUR,Poor
PRANAV.N,Poor
Vishal Sankar,Exceptional
RATAN LAL MEENA,Poor
Vishal Sibal,Exceptional
Nilesh Goswami,Very Good
Sanjay Banerjee,Good
KASSAHUN GASHU MELESE,Exceptional
SAIFULLAH,Fair
RAJ KAMAL,Good
Subhasis Reddy,Fair
ADITYA MITTAL,Good
RAHUL KUMAR MEENA,Exceptional
Nitesh Agrawal,Exceptional
SANIL KUMAR,Fair
Samarjeet Mehta,Good
Sudhir Ramakrishnan,Poor
SHEKHAR PRATAP SINGH,Fair
SURBHI ADYA,Fair
PUTHA TARUNSAI REDDY,Poor
Tarun Kumar,Exceptional
Sonu Bahl,Exceptional
Manish Kumar Lila,Very Good
Sudhir Chaudhari,Fair
Ram Gopal Jaiswal,Poor
NIKITA CHOUDHARY,Good
AMAN,Poor
Shivbihari Singhal,Good
Nitesh Bajaj,Poor
Mridul Rastogi,Fair
Rohit Sharaf,Very Good
Samarjeet Shetty,Very Good
RASHMI SAINI,Good
Shubham Sethi,Fair
SHUBHAM GUPTA,Very Good
Aradhya Saini,Very Good
Tirupathiraju Kanumuri,Good
SHREYANSH P SINGH,Fair
Shre Garg,Very Good
HARSHIT KHETAN,Poor
Amit Mittal,Poor
G.VAMSHI KRISHNA,Good
AKSHAY Batta,Very Good
HARSHIT GUPTA,Very Good
Samarjeet Rao,Good
Shivram Bakshi,Poor
Aneet Arya,Fair
Ankur Malik,Good
Arvind Garg,Very Good
HIMANSHU NUNIA,Very Good
Anand Deshpande,Exceptional
AKSHAY Chaudhary,Fair
ROHIT SINGH,Very Good
PARTH CHHABRA,Good
SANCHIT,Very Good
Nitesh Bhalla,Very Good
Subhasis Ghosh,Good
TARUN KUMAR,Poor
SNEHA SINGH,Exceptional
Akhilesh Shroff MOURYA,Poor
Lavina Sahijwani,Exceptional
Vinay Bajaj,Very Good
Shubham Dutta,Very Good
Vinay Balasubramanian,Good
TUSHAR SHARMA,Good
ARADHANA MISHRA,Very Good
Praveen Jaraut,Poor
Sudhir Deshmukh,Poor
SHWETA LALL,Exceptional
RUTUJA BHAGWAN KENDRE,Exceptional
Vishal Datta,Good
UTTAM SINGH RAJPUT,Fair
Arif Iqbal,Exceptional
Sanjay Kumar Singh,Exceptional
Subhasis Ganguly,Good
Gaurav Singh Baghel,Poor
TINKU KUMAR,Exceptional
PRATIBHA SINGH DODVE,Fair
KRISHNA AGARWAL,Good
Anand Gupta,Fair
Nilesh Bahri,Exceptional
Shubham Bajaj,Very Good
AKSHAY Dubey,Fair
SNEHA MAHESHWARI,Poor
Rajiv Chauhan,Good
AVNEET JAIN,Fair
Vinay kumar,Fair
SURBHI TAK,Very Good
Pooja Nigam,Poor
Shubham Deshmukh,Very Good
SAI TARUN PAWAR,Good
RITESH RAJAN,Poor
Laxman Irappa Ambi,Very Good
ANSHUL PURIYA,Fair
Sanjay Datta,Exceptional
Nirma Maurya,Exceptional
Shivam Garg,Exceptional
Nilesh Apte,Very Good
SHRASHTIKA SINGH,Fair
RISHABH VERMA,Poor
RISHI ALOK SETHIA,Fair
PRATIK PALLAV,Exceptional
PARVEEN KUMAR,Exceptional
AKASH DANGEE,Poor
Amit Barman,Exceptional
ABHIRAM K B,Exceptional
Amit Bajaj,Exceptional
HARSH VARDHAN,Poor
Shivram Dutta,Poor
MANISH GOYAL,Exceptional
Ankit Ramachandran,Very Good
Shivbihari Bahri,Good
Shivam Chakraborty,Very Good
SURAJ SRIVASTAVA,Fair
Rohit Dyal,Very Good
DURGESH KUMAR,Very Good
CHIRAG DALMIA,Good
Rohit Chakrabarti,Poor
Aneet Ahuja,Fair
Ankit Bajwa,Fair
Sudhir Bhardwaj,Poor
Komal Jayaswal,Very Good
Shivram Dhillon,Poor
TUSHAR KUMAWAT,Exceptional
SRASHTI SINGH,Good
ABHINAV TYAGI,Very Good
VEERENDRA SAHU,Very Good
HARSH TANWAR,Fair
Shubham Deshpande,Exceptional
RAJ,Poor
AMAN BATISH,Fair
Mridul Reddy,Good
AMRINDER SINGH,Very Good
Sanchika Gupta,Good
Amit Bhattacharyya,Very Good
PIYUSH KUMAR,Poor
Ankit Chahal,Exceptional
SHUBHRAK PRAKASH,Fair
RAYAPROLU M. RAGHUVEER,Poor
Sanjay Dasgupta,Good
Subhasis Sachdeva,Exceptional
NAGINENI SUKUMAR,Poor
Sabyasachi Biswas,Good
RAHUL SAHANI,Poor
ANSHUMAN JAIN,Very Good
Sonu negi,Fair
Kamlesh Kashyap SINGH,Poor
Vishal Mittal,Good
NAMAN SINGHAL,Fair
SIRIPURU VARSHITA,Good
Shivananda Daboji,Fair
Kamal Sharma,Fair
Vinay Mishra,Good
Vinay Gupta,Very Good
Sunil Bansal,Poor
SHINDE SWAPNIL DIPAK,Exceptional
Vishal Rana,Very Good
Mohammad Arif,Exceptional
Sudhir Sampath,Very Good
ABHAY PATNI,Good
Shivam Grewal,Very Good
SIVA RAM EDUPUGANTI,Good
MAYANK GUPTA,Poor
AKSHAY Handa,Very Good
Sudhir Dhaliwal,Exceptional
Samarjeet Dyal,Poor
ABHINAV KUMAR MOURYA,Poor
ANKITA SOOD,Fair
Keshavamurthy Bn,Fair
Aneet Sarkar,Exceptional
Rohit Shetty,Very Good
Nilesh Datta,Exceptional
Sudhir Bajaj,Fair
NISHA SINHMAR,Good
RAJ KUMAR,Very Good
Nagvendra Kumar Kanoje,Poor
ABHISHEK RATHOD,Poor
ARVIND KUMAR PRAJAPATI,Exceptional
KAUSHAL KUMAR GAWAN,Poor
VIVEK KUMAR,Good
KAMI VENKATA BALAIAH,Good
Vinay Agarwal,Fair
Rajnish Singal,Good
Shivam Bhalla,Poor
KUNJILAL MEENA,Exceptional
SHIVANSH SINGH,Very Good
SHARAT SAWHNEY,Fair
VISHAL YADAV,Fair
ALI MUBARACK C K,Very Good
Shivam Balasubramanian,Exceptional
Aneet Mathur,Good
MUNEEBA V,Fair
RAVI YADAV,Good
SATYA PRAKASH,Exceptional
Amit Gokhale,Poor
Nikhil Agrawal,Fair
Vinay Chauhan,Very Good
Ankit Goda,Good
ABHILASH SINGH,Fair
Amit Chandran,Exceptional
Ankit shukla,Fair
Vishal Rastogi,Poor
GOVIND GAURAV,Good
Mridul Seshadri,Exceptional
KESHAV TIWARI,Very Good
Anand Chaudhary,Exceptional
Shivram Goda,Fair
NIKITA SINGH,Good
RAHUL,Exceptional
Nitesh Mukherjee,Poor
Shivam Ahuja,Very Good
ABHISHEK KANSAL,Fair
VANGAPANDU PADMAPRIYA,Very Good
SWAPNIL NAGAR,Poor
ANIKAIT AGRAWAL,Fair
Shubham Agarwal,Poor
SPARSH GUPTA,Good
Subhasis Shan,Very Good
Kaushika G S,Good
ABHAS GAHLOT,Poor
Sudhir Bahri,Poor
Neetu Yadav,Exceptional
Arvind Rastogi,Fair
RACHIT GARG,Good
KAMSANI HRUSHEEKESH REDDY,Good
Aneet Batta,Fair
ABHISHEK KR MISHRA,Poor
AMIT AGARWAL,Good
Hari Raj,Fair
MANDEEP KUMAR,Good
Sanjay shukla,Good
BODA DEVILAL,Fair
AAKASH SRIVASTAVA,Poor
ANIKET GAJARE,Poor
AYUSH JALAN,Very Good
PANKAJ KUMAR UPADHYAY,Very Good
Ravi Prakash Khandelwal,Good
ANIRUDH GUPTA,Fair
SURYA KIRAN TALACHINTALA,Good
Km Deepa,Very Good
KAMRAN,Fair
ANNUR KUNDHANA,Very Good
HARSHIT KHANDELWAL,Poor
Hrusikesh Mohanty,Good
NITIN AGRAWAL,Poor
Soumak Biswas,Very Good
Sunil Bhalla,Poor
MUDIT SINGH,Exceptional
Nitesh Ramachandran,Exceptional
Nilesh Bansal,Good
Vikas Kumar,Good
YASH KUMAR SINGH,Very Good
Sunil Balakrishnan,Poor
Anuj Tiwari,Fair
Jainy Sachdeva,Good
Subhasis Sridhar,Poor
SHAILENDRA SINGH,Fair
Shivam Deshmukh,Poor
Samarjeet Basak,Poor
JITENDRA KUMAR,Very Good
Pankaj Verma,Poor
Samarjeet Sankaran,Poor
Subhasis Ramachandran,Fair
KHALID,Fair
SAJAL GUPTA,Fair
PUNEET KUMAR,Good
MUSKAN KUMAWAT,Poor
KANISH,Fair
RITICK GOENKA,Good
PINAKSHI BISWAS,Exceptional
HARSHIL MENDIRATTA,Very Good
SUNATKAR KUNAL KISHOR,Very Good
Sanjay Misra,Very Good
Sanjay Brahmbhatt,Exceptional
AYUSH BANSAL,Fair
Kamlesh Dasgupta,Good
ARIJIT THAKUR,Poor
KAUSTUBH TRIVEDI,Very Good
SHARON LAWANG,Poor
SHUBHAM JAIN,Fair
Nitesh Arya,Very Good
Sanjay Pandey,Very Good
SAGARE RUSHIPRASAD SANJIV,Poor
Nitesh Mehta,Very Good
TARUN KUMAR SINGH,Poor
Sunil Savant,Poor
MAYANK RAJ,Fair
Mayank Gupta,Exceptional
Sonu Aggarwal,Exceptional
LAKSHRAMAN VYAS,Fair
Vinay Gandhi,Poor
Arvind Dugal,Good
Vishal Mukhopadhyay,Fair
Pankaj Kumar,Very Good
Aneet Chaudhary,Fair
Nitesh Agarwal,Fair
Panchal Mitheshbhai Bipinbhai,Good
Sunil Rao,Fair
SEMEGN CHENEKE LEMESSA,Very Good
Arvind Sharaf,Good
Shubham Chakrabarti,Poor
Franklin.F.R.Frederick,Fair
PIYUSH VERMA,Fair
NIKITA,Fair
SURYA PRAKASH G,Poor
AKSHAY Chaudhari,Fair
Ajay Singh Lodhi,Exceptional
KAVYA BARNWAL,Poor
LOKESH,Very Good
DIPESH SUTHAR,Fair
Shubham Ramachandran,Good
Sudhir Chandran,Good
Aneet Dugal,Good
Subhasis Agarwal,Poor
Anand Mittal,Fair
Kamlesh Chahal,Very Good
Rohit Chahal,Very Good
ABDUL KADIR,Fair
ANKIT KATARIA,Exceptional
Anand Boase,Good
HARISH YADAV,Exceptional
Pratibha Singh,Good
TRIBHUVAN SHARMA,Poor
Rohit Bahri,Fair
DIPTI PODDAR,Good
RAHUL RAO,Very Good
DINESH RULANIYA,Good
Rohit Shan,Exceptional
NILAY SANDU,Very Good
Shivam Chandran,Very Good
JAYA RAWAT,Poor
Vishal Kumar,Very Good
BATHINNA THANUZ,Exceptional
Ankit Seth,Good
Subhasis Goyal,Fair
RISHI CHORDIA,Very Good
BOOKWALA MURTAZA SHABBIR HUSSAIN,Very Good
Sonu Raj,Fair
Aneet Garg,Fair
DEVENDRA VERMA,Fair
YASH VARDHAN RAI,Fair
Ashok Kumar,Poor
AKHILENDRA SINGH GANGWAR,Good
KUSHAGRA AGARWAL,Exceptional
NEELAM GUNJYAL,Exceptional
JAI KUMAR MEENA,Good
DEBASIS GOUNTIA,Exceptional
Ankit Chadha,Exceptional
Sonu Chaudhuri,Fair
Amit Basu,Poor
PARV BHATT,Fair
PRATISHTHA,Very Good
Ankit Sridhar,Very Good
UTKARSH SAXENA,Very Good
Ajay Khunteta,Good
JATIN RAMCHANDANI,Fair
Shubham Saini,Fair
Vishal Bhatnagar,Fair
Sonu kumar,Very Good
PRATEEK ROUSHAN,Exceptional
Subhasis Ray,Good
Nabi Ahamad,Fair
Arvind Handa,Very Good
Subhasis Bhatt,Exceptional
DEVENDRA BILONIYA,Fair
Aneet Mehra,Good
Sonu Goyal,Good
SOURAV NAG,Poor
ADITYA YADAV,Exceptional
VISHAL ARORA,Good
Kamlesh Batta,Fair
SAKSHAM GARG,Exceptional
Nitesh Chakraborty,Poor
Nitesh Badal,Exceptional
Shivram Chadha,Very Good
Ankit Dhillon,Very Good
SAGAR SHUKLA,Poor
PABBATHI SOWMYA,Fair
ANURAG PRAVEEN BHALE,Very Good
Samarjeet Gill,Very Good
Sanjay Mukherjee,Fair
GAIKWAD SAHIL SHIOCHARAN,Very Good
SUBRAT SAHU,Fair
VISHAL KUMAR VERMA,Poor
PARVEJ,Good
Samarjeet Sinha,Exceptional
Upendra Kumar,Good
MOHIT KUMAR,Poor
Rohit Raju,Poor
Shivam Gill,Exceptional
VENKATA SAI MUKESH THOTA,Good
Sanjay Rattan,Very Good
KAPIL KUMAR MEENA,Poor
Vinay Dixit,Very Good
Abdulkadir Shube,Exceptional
Nitesh Chawla,Poor
DHANADE YUVRAJ BABURAO,Poor
ZAID BIN JUNAID,Good
BHABANI KUMARI CHOUDHURY,Exceptional
Nitesh Dalal,Good
Sonu Garg,Very Good
DODIYA PARTH MANISHBHAI,Fair
MINI AGARWAL,Poor
Soma Kumari,Very Good
Shivram Bhandari,Very Good
MAMIDI ROHITH,Very Good
ANIKET JAISWAL,Very Good
SANSKAR NIGOTI,Fair
Mridul Sanghvi,Poor
ReshuMaurya,Poor
Amit Gupta,Poor
NAVEEN,Very Good
JOGESH KUMAR,Exceptional
Ankit Mishra,Good
BABLU,Fair
Vishal Ranganathan,Fair
Nilesh Bhagat,Poor
SATISH KUMAR,Exceptional
Mohd Zeeshan,Good
MEDHA JOSHI,Poor
Shivbihari Gill,Exceptional
PREETY VERMA,Exceptional
SIDDHARTH BAMAL,Good
Amit Chaudhuri,Very Good
Aneet Rao,Exceptional
AKASH S M,Exceptional
Kumar Goodwill,Fair
Rajiv Kumar,Poor
VIKAS SINGH,Good
ANANYA BIJAYA,Good
HIMANSHU RAJ,Exceptional
AKSHAY Bajwa,Good
DEEPESH MEENA,Fair
Kamlesh Ahluwalia,Exceptional
ARVIN,Very Good
KAVURU SAHIT SAI SRIRAM,Poor
KANDUKURI SURENDRA,Very Good
Subhasis Sankar,Good
Sunil Chada,Very Good
Anand negi,Exceptional
RUCHIKA ATUL GUNTEWAR,Very Good
Rohit Agrawal,Poor
Anand Dasgupta,Fair
DHARMENDRA CHOUDHARY,Fair
PALASH GARG,Poor
AMIT KUMAR,Fair
Jaideep Malik,Fair
PRIYANSHU SINGH SOMVANSHI,Very Good
Shivbihari Singh,Poor
SHIVAM PRATAP SINGH,Very Good
TWARIT WAIKAR,Fair
ABHISHEK KUMAR RAWAT,Good
Anurag Thombre,Good
Sudhir Solanki,Very Good
SAURABH SINGHAL,Fair
YEMPATI BHAVANA,Exceptional
DEEPANSHU,Fair
Amit Chahal,Exceptional
Shivbihari Bhagat,Good
VAIBHAV JAIN,Very Good
Aneet Ramakrishnan,Fair
Nilesh Bahl,Poor
ASHNA K N,Fair
NAGUBANDI MAHESH,Good
RISHAV AGARWAL,Good
RAHUL KATARA,Fair
KHUSHBOO ANAND,Poor
Shivbihari Sachdev,Very Good
PIYUSH VYAS,Very Good
Govind Prasad Gupta,Poor
JAIYASH AGRAWAL,Exceptional
ADITYA AGRAWAL,Exceptional
Sreenivasarao D,Poor
Sonu Balakrishnan,Good
Sonu Bhagat,Good
Sonu Dalal,Exceptional
SAHELI SAHA,Exceptional
JASHANJOT SINGH,Good
GARGI YADAV,Good
SAURABH GUPTA,Very Good
SUMIT,Exceptional
VISHNAV,Exceptional
Mridul Sengupta,Poor
Arvind Arora,Poor
KALE MAHESH JYOTIBA,Very Good
Vinay Chadha,Very Good
Arvind Sheth,Exceptional
Shivbihari Mukhopadhyay,Very Good
Rohit Sachdeva,Exceptional
Shubham Sen,Good
Samarjeet Raman,Poor
Nitesh Sheth,Good
Shivram Chawla,Poor
MOHD FAISAL ANSARI,Fair
TANISHA GUPTA,Fair
Shubham Mathur,Poor
Aneet Sankar,Fair
YASHU GUPTA,Fair
SANSKAR SARAF,Very Good
SATABDI SRICHANDAN,Good
ROBIN SHARMA,Fair
Sanjay Gour,Exceptional
SUMIT BHASKAR,Poor
NIKHIL KAUSHIK,Very Good
Sudhir Sanghvi,Good
Vyas Bhargav Yashvantrai,Fair
Ambarisha Mishra,Poor
PARVEEN,Poor
Shubham Soni,Good
PRATIK DEORAM HIRAY,Poor
Vishal Singh,Good
Dungali Sreehari,Very Good
MANSI MADHUSHREE,Poor
JAYA,Poor
Rohit Saran,Exceptional
Mridul Chand,Poor
Amit Bedi,Very Good
Nikam Gitanjali Ganpatrao,Exceptional
Shivam Bhatia,Very Good
AKSHAY Nagar,Fair
VIVEKANAND TIWARI,Very Good
Nitesh Dugal,Good
MARAN R,Good
Vishal Saini,Poor
GAVVAJI PUJITA,Poor
Kiran Kumar Saha,Good
Shivam Apte,Poor
DEVANSHU CHAUDHARI,Good
AGRIM AGRAWAL,Very Good
SURAAJ K S,Good
Sanjay Dutta,Fair
SAUMIA SINGHAL,Fair
ABDUL,Exceptional
ABHILASH PATHAK,Poor
Shivbihari Sridhar,Exceptional
Ankit Saini,Poor
KANISHK MALAV,Poor
DAKSHIT AGRAWAL,Fair
SAKET KUMAR SINGH,Exceptional
PRADEEP KUMAR,Poor
Shivam Bajwa,Very Good
Satish Singh Parmar,Very Good
MANGAT MURMU,Good
Sunil Ramaswamy,Exceptional
Nilesh Dhaliwal,Poor
Ankit negi,Poor
RAGHAVENDRA KATTI MANI,Very Good
NIKET KUMAR,Very Good
Nitesh Ray,Very Good
GAURAV MANGLA,Exceptional
ABHISHEK SUNIL PAWAR,Poor
Lipi Mishra,Good
RAKESH SHARMA,Very Good
SUMITRA GHALLEY,Poor
MOHIT SHARMA,Exceptional
RAGHAV JINDAL,Very Good
VEERPRATAP MEENA,Exceptional
SARA SINGHAL,Good
Vinay Chakrabarti,Exceptional
Shubham Chakraborty,Very Good
TANISHA MINA,Poor
HEMIL SANJAYBHAI PANCHIWALA,Fair
AYUSH AGARWAL,Poor
Lal Bahadur Prasad,Exceptional
Sunil Shroff,Very Good
KUSHAL RAWAL,Fair
Vishal Shah,Poor
TUSHAR GUPTA,Good
Sudhir Mathur,Poor
KENYUM BAGRA,Exceptional
ARNESH AGRAWAL,Good
KARTIKEYA RAI,Good
Akeshwar Singh Yadav,Very Good
Vishal Bahri,Good
Ranjana Kumari,Good
VISHWAS RAWAT,Exceptional
Arvind Reddy,Exceptional
RISHI RANJAN,Fair
ANJALI GAUTAM,Fair
TARA CHAND KUMAR MAURYA,Very Good
Subhasis Arora,Fair
Amit Chawla,Fair
Sanjay Sheth,Exceptional
AMMAR DALI,Good
Aneet Dyal,Fair
SHUBHAM GOEL,Poor
Shivbihari Gupta,Fair
Biswarup Bhattacharyya,Exceptional
AKSHAY Misra,Good
ARJUN SATHEESH,Very Good
MIHIR SACHDEVA,Very Good
Arvind Gopal,Poor
OMESH KUMAWAT,Exceptional
Shivram Ahluwalia,Poor
POOJA YADAV,Good
Rohit Sagar,Good
Arvind Sanghvi,Poor
IBRAHIM MUSTEFA MOHAMMED,Exceptional
Samarjeet Bhalla,Poor
GADIKOYILA SATYA VAMSI,Very Good
Kamlesh Boase,Poor
Shivam shukla,Exceptional
Sonu Raman,Good
Mridul Misra,Exceptional
Divya Shaunik,Very Good
AVDHESH,Exceptional
BHUKYA BHARGAV,Poor
Sunil Sridhar,Exceptional
Shubham Barman,Fair
ADITYA CHAUDHARY,Good
Shivbihari Rana,Poor
VIPIN JAIN,Exceptional
Samarjeet Gopal,Good
RAJAT PUNDHIR,Good
AKSHAT JAIN,Fair
Sanjay Gopal,Fair
PIYUSH YADAV,Exceptional
PRAKHAR MEWARA,Exceptional
MUSKAN DOGRA,Exceptional
JASWANTH CHADARAJUPALLI,Good
RAMDHAN MEENA,Very Good
LUBHAWANI CHOUDHARY,Fair
Nilesh Bajaj,Very Good
Sunil Handa,Exceptional
AKSHAY Aggarwal,Exceptional
Shivbihari Bhattacharyya,Very Good
KIRTHI MOULIKA,Fair
Vinay Apte,Poor
Komal Gupta,Poor
AVINASH SAXENA,Exceptional
BIBHASH KUMAR,Fair
AKSHAY Gour,Exceptional
SHIVAM KUMAR JAYASWAL,Exceptional
Shubham Dubey,Exceptional
Vishal kumar,Exceptional
SANJANA NARAYAN,Good
Sanjay Bose,Good
Sudhir Sachdev,Poor
Anurag Vijay Agrawal,Poor
Arvind Chadha,Poor
RAHUL PATIL,Exceptional
KSHITIJ KUMAR RATHIA,Exceptional
AMAN SETH,Poor
PRABHAT SHARMA,Exceptional
RAJ GANGWAR,Exceptional
Mridul Randhawa,Very Good
Samarjeet Basu,Good
Sanjay Mathur,Exceptional
Shivram Ghose,Fair
ANKUR THAKUR,Good
SOUNAK MONDAL,Fair
Shivram Dubey,Exceptional
Priyamvada Sharma,Exceptional
Sonu Bajwa,Fair
Ankit Gill,Very Good
Kamlesh Chandran,Very Good
YUVRAJ PRAVEEN SONI,Very Good
RAJAN KUMAR,Good
Sudhir Pandey,Poor
Vineet Kumar,Poor
ANSHUL SURI,Good
Neha Taneja,Exceptional
Samarjeet Chahal,Very Good
Shivbihari Sethi,Good
Anand Misra,Very Good
Sunil Deol,Exceptional
AJAY MEENA,Fair
Samarjeet Dalal,Poor
ADITYA RAI,Fair
Nagamma M. Patil,Fair
VISHAL SHARMA,Good
Mridul Basak,Fair
JIGYASA KUMARI,Poor
Amit Gour,Exceptional
Manoj Kumar Panda,Good
Ankit Bhatia,Exceptional
VINAY BHARDWAJ,Poor
Vijay Kumar Dalla,Very Good
Kamlesh Basak,Exceptional
HIMANSHU BUCKCHASH,Fair
Vishal Chaudhari,Poor
Shubham Patil,Exceptional
JAYANTH M S NAIK,Fair
Mahima,Exceptional
Jagannath Bhanja,Exceptional
Amit Bahri,Very Good
PATEL DIVYA VASANBHAI,Exceptional
ARSHIYA KHAN,Poor
Kamlesh Dalal,Very Good
Shivbihari Goda,Poor
SANDEEP KUMAR GUPTA,Good
ANKIT TAMRAKAR,Poor
Nilesh Bhalla,Poor
Shubham Sagar,Good
AKSHAY Arya,Good
PRAKHAR GUPTA,Exceptional
KRATYA RAIPURIA,Very Good
Shubham Aggarwal,Good
Sanjay Savant,Good
VINAY KUMAR KAUSHIK,Exceptional
